time_id,order_year,quarter
t749,2016,Q3
t750,2016,Q3
t751,2016,Q3
t752,2016,Q3
t753,2016,Q3
t754,2016,Q3
t755,2016,Q3
t756,2016,Q3
t757,2016,Q3
t758,2016,Q3
t759,2016,Q3
t760,2016,Q3
t761,2016,Q3
t762,2016,Q3
t763,2016,Q3
t764,2016,Q3
t765,2016,Q3
t766,2016,Q3
t767,2016,Q3
t768,2016,Q3
t769,2016,Q3
t770,2016,Q3
t771,2016,Q3
t772,2016,Q3
t773,2016,Q3
t774,2016,Q3
t775,2016,Q3
t776,2016,Q3
t777,2016,Q3
t778,2016,Q3
t779,2016,Q3
t780,2016,Q3
t781,2016,Q3
t782,2016,Q3
t783,2016,Q3
t784,2016,Q3
t785,2016,Q3
t786,2016,Q3
t787,2016,Q3
t788,2016,Q3
t789,2016,Q3
t790,2016,Q3
t791,2016,Q3
t792,2016,Q3
t793,2016,Q3
t794,2016,Q3
t795,2016,Q3
t796,2016,Q3
t797,2016,Q3
t798,2016,Q3
t799,2016,Q3
t800,2016,Q3
t801,2016,Q3
t802,2016,Q3
t803,2016,Q3
t804,2016,Q3
t805,2016,Q3
t806,2016,Q3
t807,2016,Q3
t808,2016,Q3
t809,2016,Q3
t810,2016,Q3
t811,2016,Q3
t812,2016,Q3
t813,2016,Q3
t814,2016,Q3
t815,2016,Q3
t816,2016,Q3
t817,2016,Q3
t818,2016,Q3
t819,2016,Q3
t820,2016,Q3
t821,2016,Q3
t822,2016,Q3
t823,2016,Q3
t824,2016,Q3
t825,2016,Q3
t826,2016,Q3
t827,2016,Q3
t828,2016,Q3
t829,2016,Q3
t830,2016,Q3
t831,2016,Q3
t832,2016,Q3
t833,2016,Q3
t834,2016,Q3
t835,2016,Q3
t836,2016,Q3
t837,2016,Q3
t838,2016,Q3
t839,2016,Q3
t840,2016,Q3
t841,2016,Q3
t842,2016,Q3
t843,2016,Q3
t844,2016,Q3
t845,2016,Q3
t846,2016,Q3
t847,2016,Q3
t848,2016,Q3
t849,2016,Q3
t850,2016,Q3
t851,2016,Q3
t852,2016,Q3
t853,2016,Q3
t854,2016,Q3
t855,2016,Q3
t856,2016,Q3
t857,2016,Q3
t858,2016,Q3
t859,2016,Q3
t860,2016,Q3
t861,2016,Q3
t862,2016,Q3
t863,2016,Q3
t864,2016,Q3
t865,2016,Q3
t866,2016,Q3
t867,2016,Q3
t868,2016,Q3
t869,2016,Q3
t870,2016,Q3
t871,2016,Q3
t872,2016,Q3
t873,2016,Q3
t874,2016,Q3
t875,2016,Q3
t876,2016,Q3
t877,2016,Q3
t878,2016,Q3
t879,2016,Q3
t880,2016,Q3
t881,2016,Q3
t882,2016,Q3
t883,2016,Q3
t884,2016,Q3
t885,2016,Q3
t886,2016,Q3
t887,2016,Q3
t888,2016,Q3
t889,2016,Q3
t890,2016,Q3
t891,2016,Q3
t892,2016,Q3
t893,2016,Q3
t894,2016,Q3
t895,2016,Q3
t896,2016,Q3
t897,2016,Q3
t898,2016,Q3
t899,2016,Q3
t900,2016,Q3
t901,2016,Q3
t902,2016,Q3
t903,2016,Q3
t904,2016,Q3
t905,2016,Q3
t906,2016,Q3
t907,2016,Q3
t908,2016,Q3
t909,2016,Q3
t910,2016,Q3
t911,2016,Q3
t912,2016,Q3
t913,2016,Q3
t914,2016,Q3
t915,2016,Q3
t916,2016,Q3
t917,2016,Q3
t918,2016,Q3
t919,2016,Q3
t920,2016,Q3
t921,2016,Q3
t922,2016,Q3
t923,2016,Q3
t924,2016,Q3
t925,2016,Q3
t926,2016,Q3
t927,2016,Q3
t928,2016,Q3
t929,2016,Q3
t930,2016,Q3
t931,2016,Q3
t932,2016,Q3
t933,2016,Q3
t934,2016,Q3
t935,2016,Q3
t936,2016,Q3
t937,2016,Q3
t938,2016,Q3
t939,2016,Q3
t940,2016,Q3
t941,2016,Q3
t942,2016,Q3
t943,2016,Q3
t944,2016,Q3
t945,2016,Q3
t946,2016,Q3
t947,2016,Q3
t948,2016,Q3
t949,2016,Q3
t950,2016,Q3
t951,2016,Q3
t952,2016,Q3
t953,2016,Q3
t954,2016,Q3
t955,2016,Q3
t956,2016,Q3
t957,2016,Q3
t958,2016,Q3
t959,2016,Q3
t960,2016,Q3
t961,2016,Q3
t962,2016,Q3
t963,2016,Q3
t964,2016,Q3
t965,2016,Q3
t966,2016,Q3
t967,2016,Q3
t968,2016,Q3
t969,2016,Q3
t970,2016,Q3
t971,2016,Q3
t972,2016,Q3
t973,2016,Q3
t974,2016,Q3
t975,2016,Q3
t976,2016,Q3
t977,2016,Q3
t978,2016,Q3
t979,2016,Q3
t980,2016,Q3
t981,2016,Q3
t982,2016,Q3
t983,2016,Q3
t984,2016,Q3
t985,2016,Q3
t986,2016,Q3
t987,2016,Q3
t988,2016,Q3
t989,2016,Q3
t990,2016,Q3
t991,2016,Q3
t992,2016,Q3
t993,2016,Q3
t994,2016,Q3
t995,2016,Q3
t996,2016,Q3
t997,2016,Q3
t998,2016,Q3
t999,2016,Q3
t1000,2016,Q3
t1001,2016,Q3
t1002,2016,Q3
t1003,2016,Q3
t1004,2016,Q3
t1005,2016,Q3
t1006,2016,Q3
t1007,2016,Q3
t1008,2016,Q3
t1009,2016,Q3
t1010,2016,Q3
t1011,2016,Q3
t1012,2016,Q3
t1013,2016,Q3
t1014,2016,Q3
t1015,2016,Q3
t1016,2016,Q3
t1017,2016,Q3
t1018,2016,Q3
t1019,2016,Q3
t1020,2016,Q3
t1021,2016,Q3
t1022,2016,Q3
t1023,2016,Q3
t1024,2016,Q3
t1025,2016,Q3
t1026,2016,Q3
t1027,2016,Q3
t1028,2016,Q3
t1029,2016,Q3
t1030,2016,Q3
t1031,2016,Q3
t1032,2016,Q3
t1033,2016,Q3
t1034,2016,Q3
t1035,2016,Q3
t1036,2016,Q3
t1037,2016,Q3
t1038,2016,Q3
t1039,2016,Q3
t1040,2016,Q3
t1041,2016,Q3
t1042,2016,Q3
t1043,2016,Q3
t1044,2016,Q3
t1045,2016,Q3
t1046,2016,Q3
t1047,2016,Q3
t1048,2016,Q3
t1049,2016,Q3
t1050,2016,Q3
t1051,2016,Q3
t1052,2016,Q3
t1053,2016,Q3
t1054,2016,Q3
t1055,2016,Q3
t1056,2016,Q3
t1057,2016,Q3
t1058,2016,Q3
t1059,2016,Q3
t1060,2016,Q3
t1061,2016,Q3
t1062,2016,Q3
t1063,2016,Q3
t1064,2016,Q3
t1065,2016,Q3
t1066,2016,Q3
t1067,2016,Q3
t1068,2016,Q3
t1069,2016,Q3
t1070,2016,Q3
t1071,2016,Q3
t1072,2016,Q3
t1073,2016,Q3
t1074,2016,Q3
t1075,2016,Q3
t1076,2016,Q3
t1077,2016,Q3
t1078,2016,Q3
t1079,2016,Q3
t1080,2016,Q3
t1081,2016,Q3
t1082,2016,Q3
t1083,2016,Q3
t1084,2016,Q3
t1085,2016,Q3
t1086,2016,Q3
t1087,2016,Q3
t1088,2016,Q3
t1089,2016,Q3
t1090,2016,Q3
t1091,2016,Q3
t1092,2016,Q3
t1093,2016,Q3
t1094,2016,Q3
t1095,2016,Q3
t1096,2016,Q3
t1097,2016,Q3
t1098,2016,Q3
t1099,2016,Q3
t1100,2016,Q3
t1101,2016,Q3
t1102,2016,Q3
t1103,2016,Q3
t1104,2016,Q3
t1105,2016,Q3
t1106,2016,Q3
t1107,2016,Q3
t1108,2016,Q3
t1109,2016,Q3
t1110,2016,Q3
t1111,2016,Q3
t1112,2016,Q3
t1113,2016,Q3
t1114,2016,Q3
t1115,2016,Q3
t1116,2016,Q3
t1117,2016,Q3
t1118,2016,Q3
t1119,2016,Q3
t1120,2016,Q3
t1121,2016,Q3
t1122,2016,Q3
t1123,2016,Q3
t1124,2016,Q3
t1125,2016,Q3
t1126,2016,Q3
t1127,2016,Q3
t1128,2016,Q3
t1129,2016,Q3
t1130,2016,Q3
t1131,2016,Q3
t1132,2016,Q3
t1133,2016,Q3
t1134,2016,Q3
t1135,2016,Q3
t1136,2016,Q3
t1137,2016,Q3
t1138,2016,Q3
t1139,2016,Q3
t1140,2016,Q3
t1141,2016,Q3
t1142,2016,Q3
t1143,2016,Q3
t1144,2016,Q3
t1145,2016,Q3
t1146,2016,Q3
t1147,2016,Q3
t1148,2016,Q3
t1149,2016,Q3
t1150,2016,Q3
t1151,2016,Q3
t1152,2016,Q3
t1153,2016,Q3
t1154,2016,Q3
t1155,2016,Q3
t1156,2016,Q3
t1157,2016,Q3
t1158,2016,Q3
t1159,2016,Q3
t1160,2016,Q3
t1161,2016,Q3
t1162,2016,Q3
t1163,2016,Q3
t1164,2016,Q3
t1165,2016,Q3
t1166,2016,Q3
t1167,2016,Q3
t1168,2016,Q3
t1169,2016,Q3
t1170,2016,Q3
t1171,2016,Q3
t1172,2016,Q3
t1173,2016,Q3
t1174,2016,Q3
t1175,2016,Q3
t1176,2016,Q3
t1177,2016,Q3
t1178,2016,Q3
t1179,2016,Q3
t1180,2016,Q3
t1181,2016,Q3
t1182,2016,Q3
t1183,2016,Q3
t1184,2016,Q3
t1185,2016,Q3
t1186,2016,Q3
t1187,2016,Q3
t1188,2016,Q3
t1189,2016,Q3
t1190,2016,Q3
t1191,2016,Q3
t1192,2016,Q3
t1193,2016,Q3
t1194,2016,Q3
t1195,2016,Q3
t1196,2016,Q3
t1197,2016,Q3
t1198,2016,Q3
t1199,2016,Q3
t1200,2016,Q3
t1201,2016,Q3
t1202,2016,Q3
t1203,2016,Q3
t1204,2016,Q3
t1205,2016,Q3
t1206,2016,Q3
t1207,2016,Q3
t1208,2016,Q3
t1209,2016,Q3
t1210,2016,Q3
t1211,2016,Q3
t1212,2016,Q3
t1213,2016,Q3
t1214,2016,Q3
t1215,2016,Q3
t1216,2016,Q3
t1217,2016,Q3
t1218,2016,Q3
t1219,2016,Q3
t1220,2016,Q3
t1221,2016,Q3
t1222,2016,Q3
t1223,2016,Q3
t1224,2016,Q3
t1225,2016,Q3
t1226,2016,Q3
t1227,2016,Q3
t1228,2016,Q3
t1229,2016,Q3
t1230,2016,Q3
t1231,2016,Q3
t1232,2016,Q3
